lotRef|lotNumber|lotTitle|houseName|photoPath|imageUrl
10E4F21837|5084|Mona Chino Acoma Pottery Vase|EJ'S Auction & Appraisal|ejsauction/99/774499/H8897-L376816449.jpg|https://image.invaluable.com/housePhotos/ejsauction/99/774499/H8897-L376816449.jpg
7E54FFB80D|5055|Manuel Steven’s Acoma Pottery Vase|EJ'S Auction & Appraisal|ejsauction/99/774499/H8897-L376816357.jpg|https://image.invaluable.com/housePhotos/ejsauction/99/774499/H8897-L376816357.jpg
34044BA9BB|260|(2pc) Native American Acoma Pottery|Monarch Auction and Estate Services|MonarchAuction/07/774107/H22213-L376294107.jpg|https://image.invaluable.com/housePhotos/MonarchAuction/07/774107/H22213-L376294107.jpg
D7C4D5E965|454|Muench, Josef 1904-1998 B/W Gelatin Silver Photograph, 'Acoma Pottery Seller'.|Global Auctions Company|GlobalAuctions/34/772334/H19991-L373732550.jpg|https://image.invaluable.com/housePhotos/GlobalAuctions/34/772334/H19991-L373732550.jpg
6C74E67B0C|231|Acoma Pottery Jar Red Black and White|California Auctioneers|california/58/772858/H3079-L374589687.jpg|https://image.invaluable.com/housePhotos/california/58/772858/H3079-L374589687.jpg
8C14885B01|2169|NATIVE AMERICAN SIGNED ACOMA POTTERY JARS, LOT OF TWO|Jeffrey S. Evans & Associates|jeffreysevans/34/773134/H4034-L374927014.jpg|https://image.invaluable.com/housePhotos/jeffreysevans/34/773134/H4034-L374927014.jpg
57747F7A9A|44|Native American Acoma Pottery Vessels (5 pcs)|Artemis Gallery|artemisgallery/47/773547/H4404-L375502045.jpg|https://image.invaluable.com/housePhotos/artemisgallery/47/773547/H4404-L375502045.jpg
44D49CCB4D|101|Group of (2) Acoma Pottery|South Bay Auctions Inc|SouthBay/45/772045/H2373-L373304314.JPG|https://image.invaluable.com/housePhotos/SouthBay/45/772045/H2373-L373304314.JPG
1B74530AB3|2331|LOT OF 8 ASSORTED MINIATURE ACOMA POTTERY|Bradford's|bradfordsauction/79/771679/H22021-L372735370.jpg|https://image.invaluable.com/housePhotos/bradfordsauction/79/771679/H22021-L372735370.jpg
82C4EB6B14|40|Miniature Acoma Pottery Vessels + Quail Figure (all signed)|Artemis Gallery|artemisgallery/20/772620/H4404-L374245778.jpg|https://image.invaluable.com/housePhotos/artemisgallery/20/772620/H4404-L374245778.jpg
65C4FDFB62|199|Signed Eric Louis Acoma Pottery Seed Pot|Embassy Auctions International|TheGapAuction/10/772610/H4503-L374225872.jpg|https://image.invaluable.com/housePhotos/TheGapAuction/10/772610/H4503-L374225872.jpg
4054F9B8A2|44|Signed Acoma Pottery Vase|Embassy Auctions International|TheGapAuction/10/772610/H4503-L374223070.jpg|https://image.invaluable.com/housePhotos/TheGapAuction/10/772610/H4503-L374223070.jpg
0144238BE2|87|COLLECTION OF NATIVE AMERICAN ACOMA POTTERY|Selkirk Auctioneers & Appraisers|selkirkauctions/84/769984/H19687-L372699466.JPG|https://image.invaluable.com/housePhotos/selkirkauctions/84/769984/H19687-L372699466.JPG
6C14035BE3|146A|Acoma Pottery Lamps w/ Birds by Eva Histia|Artemis Gallery|artemisgallery/52/772152/H4404-L373745364.jpg|https://image.invaluable.com/housePhotos/artemisgallery/52/772152/H4404-L373745364.jpg
F8A4669B24|154|Acoma Pottery Jar w/ Stylized Butterflies by M. Torivio|Artemis Gallery|artemisgallery/52/772152/H4404-L373491349.jpg|https://image.invaluable.com/housePhotos/artemisgallery/52/772152/H4404-L373491349.jpg
780455D959|1142|(2) Artist Signed Acoma Pottery Vases, Wedding|EJ'S Auction & Appraisal|ejsauction/62/771262/H8897-L372732004.jpg|https://image.invaluable.com/housePhotos/ejsauction/62/771262/H8897-L372732004.jpg
19540129E7|415|Artist Signed (12) Native American Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/17/770817/H20360-L371626753.jpg|https://image.invaluable.com/housePhotos/zahajko/17/770817/H20360-L371626753.jpg
ABE415B92A|190|Fineline (3) Native American Acoma Pottery Signed|Grant Zahajko Auctions, LLC|zahajko/17/770817/H20360-L371624088.jpg|https://image.invaluable.com/housePhotos/zahajko/17/770817/H20360-L371624088.jpg
33F42A0802|6104|Two Acoma pottery jars|Clars Auctions|clars/49/770349/H0054-L372129221.jpg|https://image.invaluable.com/housePhotos/clars/49/770349/H0054-L372129221.jpg
897424CB90|47|LORETTA GARCIA Acoma Pottery Bowl|Blackwell Auctions LLC|Blackwell/94/770394/H20388-L371096029.jpg|https://image.invaluable.com/housePhotos/Blackwell/94/770394/H20388-L371096029.jpg
A7C455781F|1193|FRANKLIN PETERS ACOMA POTTERY BOWL|Bradford's|bradfordsauction/00/768400/H22021-L368074890.jpg|https://image.invaluable.com/housePhotos/bradfordsauction/00/768400/H22021-L368074890.jpg
0624CACA9A|3023|Vintage Acoma Pottery Bowl|EJ'S Auction & Appraisal|ejsauction/95/770095/H8897-L370600980.jpg|https://image.invaluable.com/housePhotos/ejsauction/95/770095/H8897-L370600980.jpg
7D24DB4B71|2394|(7) Artist Signed Acoma Pottery Figures|EJ'S Auction & Appraisal|ejsauction/94/770094/H8897-L370600490.jpg|https://image.invaluable.com/housePhotos/ejsauction/94/770094/H8897-L370600490.jpg
16C46E389A|129|F.W. Acoma Pottery 4IN Jug [Deer]|Grant Zahajko Auctions, LLC|zahajko/92/768892/H20360-L368749573.jpg|https://image.invaluable.com/housePhotos/zahajko/92/768892/H20360-L368749573.jpg
42E43CBB98|1187|Ophelia Leon Native American Acoma Pottery Pot|EJ'S Auction & Appraisal|ejsauction/62/769062/H8897-L369208196.jpg|https://image.invaluable.com/housePhotos/ejsauction/62/769062/H8897-L369208196.jpg
20E4F298A6|2061|A Dorothy Torivio miniature Acoma pottery jar and another|Clars Auctions|clars/16/768416/H0054-L369865245.jpg|https://image.invaluable.com/housePhotos/clars/16/768416/H0054-L369865245.jpg
4674E5CBCE|2063|Two Acoma pottery jars, the first of large size by D|Clars Auctions|clars/16/768416/H0054-L369864142.jpg|https://image.invaluable.com/housePhotos/clars/16/768416/H0054-L369864142.jpg
B494CBDB42|81A|Native American Acoma Pottery Vessels (5 pcs)|Artemis Gallery|artemisgallery/07/769207/H4404-L369450364.jpg|https://image.invaluable.com/housePhotos/artemisgallery/07/769207/H4404-L369450364.jpg
73F4A4CBF1|116|Acoma Pottery Wedding Jar|Hindman|Hindman/06/768106/H0587-L367904463.jpg|https://image.invaluable.com/housePhotos/Hindman/06/768106/H0587-L367904463.jpg
AA64AC081A|112|I Chino Native American Indian Acoma Pottery Vase|MiddleManBrokers|MiddleManBrokers/81/768281/H22318-L367919189.jpg|https://image.invaluable.com/housePhotos/MiddleManBrokers/81/768281/H22318-L367919189.jpg
07A4464941|43|AN ACOMA POTTERY JAR WITH TRADITIONAL GEOMETRIC DESIGNS|Dirk Soulis Auctions|soulis/92/768392/H1081-L368067035.jpg|https://image.invaluable.com/housePhotos/soulis/92/768392/H1081-L368067035.jpg
4C840A88D3|88|A Fine native American Acoma Pottery Pot NM E. Antonio Signed|RB Fine Arts|RBFineArts/51/766651/H21689-L365803735.jpg|https://image.invaluable.com/housePhotos/RBFineArts/51/766651/H21689-L365803735.jpg
EFE49AEA8F|33|Five Acoma Pottery Jars - Colorful!|Artemis Gallery|artemisgallery/99/768699/H4404-L368503874.jpg|https://image.invaluable.com/housePhotos/artemisgallery/99/768699/H4404-L368503874.jpg
DDC4BA282B|385|Margaret Seymour Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367232458.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367232458.jpg
20C4412B2B|384|Stella Shuvita (1939-1997) Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367232459.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367232459.jpg
3174C5FBF5|230|Selina Sanchez Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367231247.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367231247.jpg
44A44ADB42|225|(2 Pcs) Vintage Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367231238.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367231238.jpg
B234BBB95F|183|V. Victorino Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367230856.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367230856.jpg
01E4638BBC|181|Kim Vallo Miniature Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367230827.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367230827.jpg
AA84F46952|159|T.L. Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367230540.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367230540.jpg
D874ACDBA3|157|Dorothy Sanchez Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367230541.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367230541.jpg
4174A24BA0|140|Vintage T.L. Acoma Pottery|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367230355.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367230355.jpg
F6640BA860|73|Acoma Pottery Small Pots Mounted Display|Grant Zahajko Auctions, LLC|zahajko/63/767863/H20360-L367229925.jpg|https://image.invaluable.com/housePhotos/zahajko/63/767863/H20360-L367229925.jpg
660486C9F3|237|Acoma Pottery Jar|California Auctioneers|california/33/767733/H3079-L367629346.jpg|https://image.invaluable.com/housePhotos/california/33/767733/H3079-L367629346.jpg
8394C969B6|1143|Helen Bradley Acoma Pottery Bird Figurines|EJ'S Auction & Appraisal|ejsauction/45/767945/H8897-L367760063.jpg|https://image.invaluable.com/housePhotos/ejsauction/45/767945/H8897-L367760063.jpg
20144E0802|1129|Lucy Martin Lewis (1890-1992) Acoma Pottery Vase|EJ'S Auction & Appraisal|ejsauction/45/767945/H8897-L367760015.jpg|https://image.invaluable.com/housePhotos/ejsauction/45/767945/H8897-L367760015.jpg
6FF4DBE98C|1127|Dolores Lewis (1938-) Miniature Acoma Pottery Vase|EJ'S Auction & Appraisal|ejsauction/45/767945/H8897-L367760013.jpg|https://image.invaluable.com/housePhotos/ejsauction/45/767945/H8897-L367760013.jpg
A6B4EE994C|208|Acoma Pottery Wedding Vase|Abell Auction|abell/38/767738/H0068-L367097812.JPG|https://image.invaluable.com/housePhotos/abell/38/767738/H0068-L367097812.JPG
0494116919|207|Two Acoma Pottery Storyteller Figures|Abell Auction|abell/38/767738/H0068-L367097791.JPG|https://image.invaluable.com/housePhotos/abell/38/767738/H0068-L367097791.JPG
8E845FCA57|2876|Swedish Crystal, Acoma Pottery, Dinnerware|R & R Auction INC|randrauction/71/767771/H21353-L367501397.jpg|https://image.invaluable.com/housePhotos/randrauction/71/767771/H21353-L367501397.jpg
24444B9883|338|Acoma Pottery Miniature Seed Pot, Acosta pot by Mata Ortiz|Aether Auctions|Aether/62/767462/H22451-L366768318.jpg|https://image.invaluable.com/housePhotos/Aether/62/767462/H22451-L366768318.jpg
684411484C|268|Native American Acoma Pottery by Beverly Garcia|Aether Auctions|Aether/62/767462/H22451-L366767973.jpg|https://image.invaluable.com/housePhotos/Aether/62/767462/H22451-L366767973.jpg
AEB4008890|146|Acoma Pottery Storyteller Puppy, Signed|Aether Auctions|Aether/62/767462/H22451-L366767288.jpg|https://image.invaluable.com/housePhotos/Aether/62/767462/H22451-L366767288.jpg
C1348DD92D|97|Acoma Pottery by Westly Begaye|Aether Auctions|Aether/62/767462/H22451-L366767020.jpg|https://image.invaluable.com/housePhotos/Aether/62/767462/H22451-L366767020.jpg
8C14B9D9CF|9161|A large Acoma pottery olla and anoterh|Clars Auctions|clars/38/766138/H0054-L366760010.jpg|https://image.invaluable.com/housePhotos/clars/38/766138/H0054-L366760010.jpg
AD64BF6A91|9160|An Acoma pottery sheep by Jessie Garcia|Clars Auctions|clars/38/766138/H0054-L366760267.jpg|https://image.invaluable.com/housePhotos/clars/38/766138/H0054-L366760267.jpg
